target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	778.409	2.5	11.816
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	496.765	36	266.619
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	151.287	9	218.867
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	442.456	4	33.2605
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	138.724	8	212.167
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	207.047	13	231
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	433.931	19	161.091
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1192.41	8	24.6833
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	269.81	980	13363.1
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	871.409	818	3453.58
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	362.647	155	1572.49
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	781.409	31	145.956
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	709.689	58	300.676
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	267.324	31	426.64
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1039.41	39	138.044
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	692.162	69	366.758
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1624.41	27	61.1515
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	193.247	15	285.573
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1576.41	29	67.6811
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	386.88	45	427.932
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	811.409	15	68.0127
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1027.41	9	32.2283
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	171.18	26	558.802
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2170.41	160	271.217
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	386.88	21	199.702
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	216.153	52	885.076
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2017.41	128	233.429
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	151.287	13	316.142
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2284.41	46	74.0837
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	583.524	34	214.368
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	144.936	5	126.921
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1471.41	45	112.517
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2416.41	95	144.641
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	496.765	17	125.903
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	327.787	4	44.896
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1096.41	22	73.8225
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1486.41	69	170.785
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	312.98	210	2468.54
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1294.41	160	454.765
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1135.41	36	116.651
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	901.409	42	171.422
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2878.41	255	325.931
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	641.873	46	263.662
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4216.41	456	397.888
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	416.726	93	821.052
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	408.051	7	63.1135
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	264.805	3	41.6805
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	641.873	64	366.834
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	641.873	13	74.5131
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	218.589	38	639.58
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	315.435	123	1434.61
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1171.41	32	100.503
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2479.41	219	324.963
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	703.825	351	1834.77
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	394.756	113	1053.15
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	305.438	50	602.262
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2173.41	42	71.0962
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	335.948	9	98.562
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	281.685	29	378.768
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	354.544	88	913.169
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	973.409	151	570.716
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	303.033	122	1481.18
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	267.324	17	233.964
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	300.78	20	244.635
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	709.689	65	336.964
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	772.409	12	57.1574
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	534.264	72	495.81
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	243.917	10	150.833
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	173.34	58	1231.03
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	476.34	30	231.709
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	157.67	25	583.351
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	778.409	8	37.8112
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	310.554	5	59.2341
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	479.293	35	268.661
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1297.41	14	39.6999
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	354.544	1	10.3769
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	624.179	16	94.3082
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1570.41	73	171.021
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	934.409	74	291.362
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	898.409	25	102.378
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	198.015	13	241.537
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	195.566	3	56.4374
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1246.41	9	26.5657
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	838.409	9	39.4935
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	173.34	100	2122.46
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	367.953	59	589.927
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	218.589	19	319.79
gene_88|GeneMark.hmm|1149_nt|-|117751|118899	1149	898.409	21	85.9971
gene_89|GeneMark.hmm|1827_nt|-|119023|120849	1827	1576.41	33	77.0165
