target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	758.22	3	19.2892
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	476.031	85.5	875.626
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	140.165	32	1113
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	422.315	2	23.0877
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	128.423	20	759.231
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	193.392	14	352.92
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	413.931	9	105.999
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1172.22	4	16.6356
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	254.494	1035	19826.7
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	851.22	219	1254.27
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	343.711	275	3900.56
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	761.22	44	281.793
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	689.287	68	480.946
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	252.066	24	464.177
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1019.22	11	52.6153
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	671.418	146	1060.1
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1604.22	14	42.5453
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	180.68	15	404.732
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1556.22	48	150.369
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	367.373	25	331.757
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	791.22	30	184.847
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1007.22	13	62.9226
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	158.906	17	521.551
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2150.22	71	160.977
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	367.373	13	172.514
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	202.614	100	2406.12
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	1997.22	60	146.458
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	140.165	6	208.688
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2264.22	41	88.278
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	562.099	26	225.501
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	134.523	6	217.442
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1451.22	24	80.6242
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2396.22	52	105.795
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	476.031	13	133.136
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	310.773	1	15.6872
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1076.22	8	36.239
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1466.22	9	29.9248
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	296.339	32	526.439
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1274.22	75	286.949
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1115.22	20	87.4293
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	881.22	53	293.21
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2858.22	238	405.946
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	620.85	39	306.242
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4196.22	511	593.677
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	397.161	94	1153.85
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	388.893	3	37.6078
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	249.88	1	19.5099
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	620.85	48	376.914
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	620.85	9	70.6713
