target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	768.452	2	10.4903
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	485.171	78.5	652.154
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	139.772	12	346.047
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	430.909	4	37.4154
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	126.887	11	349.423
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	194.855	5	103.427
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	422.117	12	114.584
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1182.45	8	27.2698
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	258.581	413	6437.68
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	861.452	306	1431.75
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	351.214	143	1641.12
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	771.452	37	193.316
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	699.521	61	351.483
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	255.908	46	724.517
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1029.45	30	117.46
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	681.587	113	668.24
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1614.45	25	62.4152
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	181.198	12	266.934
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1566.45	44	113.217
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	375.339	37	397.332
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	801.452	23	115.671
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1017.45	8	31.6921
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	159.024	28	709.694
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2160.45	171	319.027
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	375.339	6	64.4322
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	204.135	48	947.764
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2007.45	104	208.816
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	139.772	15	432.559
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2274.45	59	104.556
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	571.989	35	246.636
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	133.345	16	483.636
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1461.45	29	79.9814
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2406.45	97	162.469
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	485.171	20	166.154
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	317.079	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1086.45	7	25.9695
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1476.45	42	114.658
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	301.745	93	1242.28
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1284.45	121	379.702
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1125.45	29	103.86
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	891.452	45	203.465
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2868.45	285	400.472
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	630.961	46	293.853
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4206.45	593	568.217
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	405.088	119	1184.06
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	396.988	4	40.6123
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	253.504	2	31.7995
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	630.961	58	370.51
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	630.961	7	44.7168
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	206.325	38	742.346
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	304.127	112	1484.36
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1161.45	27	93.6997
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2469.45	246	401.523
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	693.521	408	2371.24
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	383.368	95	998.81
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	294.448	51	698.131
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2163.45	24	44.7136
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	324.527	10	124.201
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	270.512	6	89.4006
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	343.22	99	1162.62
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	963.452	146	610.799
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	291.93	83	1145.98
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	255.908	6	94.5022
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	289.497	7	97.4606
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	699.521	63	363.007
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	762.452	14	74.0101
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	522.322	66	509.309
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	232.105	28	486.237
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	161.22	52	1300.05
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	465.23	45	389.87
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	145.948	32	883.748
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	768.452	11	57.6968
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	299.204	3	40.4137
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	468.094	41	353.042
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1287.45	18	56.353
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	343.22	3	35.2309
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	613.081	25	164.36
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1560.45	84	216.972
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	924.452	113	492.685
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	888.452	19	86.1976
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	185.616	6	130.29
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	183.474	5	109.843
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1236.45	4	13.0394
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	828.452	11	53.5181
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	161.22	100	2500.1
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	356.404	46	520.225
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	206.325	11	214.889
gene_88|GeneMark.hmm|1149_nt|-|117751|118899	1149	888.452	39	176.932
gene_89|GeneMark.hmm|1827_nt|-|119023|120849	1827	1566.45	36	92.632
gene_90|GeneMark.hmm|1104_nt|-|120989|122092	1104	843.452	7	33.4513
gene_91|GeneMark.hmm|945_nt|-|122574|123518	945	684.587	3	17.6631
gene_92|GeneMark.hmm|1263_nt|-|123670|124932	1263	1002.45	5	20.104
gene_93|GeneMark.hmm|1848_nt|+|125079|126926	1848	1587.45	55	139.649
gene_94|GeneMark.hmm|558_nt|-|126944|127501	558	317.079	18	228.813
gene_95|GeneMark.hmm|1359_nt|+|127594|128952	1359	1098.45	45	165.123
gene_96|GeneMark.hmm|327_nt|-|128953|129279	327	137.4	9	264.016
gene_97|GeneMark.hmm|417_nt|-|129357|129773	417	204.135	4	78.9803
gene_98|GeneMark.hmm|1239_nt|+|129853|131091	1239	978.452	48	197.732
gene_99|GeneMark.hmm|3012_nt|-|131088|134099	3012	2751.45	52	76.1758
gene_100|GeneMark.hmm|945_nt|+|134187|135131	945	684.587	0	0
gene_101|GeneMark.hmm|417_nt|+|135172|135588	417	204.135	9	177.706
gene_102|GeneMark.hmm|642_nt|-|135589|136230	642	391.415	17	175.06
gene_103|GeneMark.hmm|642_nt|-|136265|136906	642	391.415	28	288.334
gene_104|GeneMark.hmm|681_nt|-|136975|137655	681	427.951	44	414.414
gene_105|GeneMark.hmm|1239_nt|+|137742|138980	1239	978.452	11	45.3136
gene_106|GeneMark.hmm|2964_nt|-|139049|142012	2964	2703.45	326	486.043
gene_107|GeneMark.hmm|1512_nt|+|142103|143614	1512	1251.45	110	354.286
gene_108|GeneMark.hmm|606_nt|+|143723|144328	606	359.048	95	1066.46
gene_109|GeneMark.hmm|708_nt|-|144620|145327	708	454.171	76	674.481
gene_110|GeneMark.hmm|480_nt|+|145414|145893	480	253.504	6	95.3986
gene_111|GeneMark.hmm|1386_nt|+|145962|147347	1386	1125.45	43	153.999
gene_112|GeneMark.hmm|630_nt|+|147383|148012	630	380.519	0	0
gene_113|GeneMark.hmm|645_nt|-|148016|148660	645	394.26	10	102.233
gene_114|GeneMark.hmm|498_nt|+|148762|149259	498	268.36	11	165.215
gene_115|GeneMark.hmm|600_nt|-|149376|149975	600	353.828	25	284.789
gene_116|GeneMark.hmm|1797_nt|+|150056|151852	1797	1536.45	39	102.311
gene_117|GeneMark.hmm|312_nt|-|151937|152248	312	126.887	12	381.188
gene_118|GeneMark.hmm|843_nt|-|152729|153571	843	583.654	18	124.306
gene_119|GeneMark.hmm|1920_nt|-|153899|155818	1920	1659.45	95	230.746
gene_120|GeneMark.hmm|312_nt|-|155904|156215	312	126.887	28	889.439
gene_121|GeneMark.hmm|678_nt|+|156413|157090	678	425.034	12	113.798
gene_122|GeneMark.hmm|1302_nt|-|157171|158472	1302	1041.45	4	15.4809
gene_123|GeneMark.hmm|702_nt|-|158556|159257	702	448.479	11	98.8611
gene_124|GeneMark.hmm|330_nt|-|159537|159866	330	139.772	26	749.769
gene_125|GeneMark.hmm|1869_nt|-|160007|161875	1869	1608.45	42	105.249
gene_126|GeneMark.hmm|1416_nt|+|162083|163498	1416	1155.45	9	31.3954
gene_127|GeneMark.hmm|762_nt|+|163491|164252	762	505.02	4	31.9247
