target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	809.662	10.5	22.46
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	523.826	109.5	362.036
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	156.471	3	33.2056
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	468.684	5	18.4763
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	142.455	33	401.201
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	216.383	52	416.204
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	459.985	82	308.742
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1223.66	50	70.7675
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	285.185	596	3619.47
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	902.662	1035	1985.82
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	386.065	226	1013.85
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	812.662	8	17.0492
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	740.662	59	137.961
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	282.596	27	165.472
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1070.66	105	169.849
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	722.662	89	213.295
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1655.66	2391	2501.11
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	201.384	28	240.801
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1607.66	19	20.4684
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	411.44	64	269.401
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	842.662	28	57.5479
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1058.66	31	50.7142
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	177.636	10545	102811
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2201.66	464	365
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	411.44	15	63.1408
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	226.203	105	803.927
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2048.66	399	337.309
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	156.471	7	77.4797
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2315.66	40	29.9164
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	612.667	36	101.766
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	149.349	7	81.175
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1502.66	48	55.3229
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2447.66	227	160.62
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	523.826	41	135.557
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	349.977	8	39.5891
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1127.66	67	102.901
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1517.66	158	180.305
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	333.654	745	3867.1
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1325.66	439	573.531
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1166.66	49	72.7405
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	932.662	34	63.1364
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2909.66	342	203.568
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	671.725	51	131.493
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4247.66	778	317.216
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	442.778	3068	12000.4
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	434.183	76	303.156
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	280.003	21	129.892
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	671.725	2460	6342.62
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	671.725	4	10.3132
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	228.725	21	159.012
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	336.273	289	1488.44
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1202.66	133	191.528
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2510.66	159	109.682
